"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
16.675,0.00105,-0.02,-0.28
16.700,3.63376E-4,-0.03,-0.11
16.725,-3.24679E-4,-0.03,0.10
16.750,-0.00102,-0.02,0.29
16.775,-0.00137,-0.01,0.42
16.800,-0.00156,0.00,0.45
16.825,-0.00122,0.01,0.36
16.850,-7.07290E-4,0.02,0.20
16.875,-1.93450E-5,0.03,0.01
16.900,6.73450E-4,0.02,-0.16
16.925,0.00119,0.02,
16.950,0.00155,0.01,
16.975,0.00156,,
